Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
159,No,Cordial,Brazilian Monk,Frangelico,Kahlua,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
538,No,Tequila,Corazon Tequila Sunrise,Corazon,Crème de Caissis,Cordial,1.5,Part,https://www.barnonedrinks.com/drinks/c/corazon-tequila-sunrise-13761.html
161,No,Cordial,Brazilian Monk,Frangelico,Dry Sherry,Wine,0.5,Ounce,http://www.drinksmixer.com/cat/2384/
162,No,Cordial,Brazilian Monk,Frangelico,Ice Cream,Mixer,4,Tablespoon,http://www.drinksmixer.com/cat/2384/
163,No,Cordial,Celeste Sunrise,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
164,No,Cordial,Celeste Sunrise,Frangelico,Strawberry Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
165,No,Cordial,Celeste Sunrise,Frangelico,Advocaat Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
166,No,Cordial,Celeste Sunrise,Frangelico,Cream,Mixer,2,Ounce,http://www.drinksmixer.com/cat/2384/
49,No,Cognac,Stinger,Ansac,Crème de Menthe,Cordial,0.66,Ounce,ansac-cognac.fr/cocktails/
168,No,Cordial,Chocolate Squirrel,Frangelico,Frangelico Liqueur,Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
169,No,Cordial,Chocolate Squirrel,Frangelico,Almond Liqueur,Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
23,No,Cognac,Chocolate Mint Alexander,Ansac,Crème de Menthe (Green),Cordial,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4292/choc-mint-alexander
171,No,Cordial,Chocolate Squirrel,Frangelico,Cream,Mixer,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
172,No,Cordial,Cinnamon Nuts and Cream,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
173,No,Cordial,Cinnamon Nuts and Cream,Frangelico,Cinnamon Schnapps,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2384/
174,No,Cordial,Cinnamon Nuts and Cream,Frangelico,Almond Liqueur,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2384/
